Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA,Year
Bernardo Silva,1,15,26.0,33,2857,8.0,8.0,4.0,6.0,0.0,6.7,6.7,6.5,3
Aymeric Laporte,0,15,27.0,33,2828,4.0,4.0,0.0,5.0,1.0,4.9,4.9,0.6,3
Rúben Dias,0,15,24.0,27,2402,2.0,2.0,4.0,5.0,0.0,2.7,2.7,3.2,3
Kevin De Bruyne,1,15,30.0,25,2201,15.0,15.0,8.0,2.0,0.0,5.7,5.7,10.4,3
Phil Foden,2,15,21.0,24,2128,9.0,9.0,5.0,1.0,0.0,9.4,9.4,6.3,3
Raheem Sterling,2,15,26.0,23,2128,13.0,11.0,5.0,1.0,0.0,14.0,11.5,5.5,3
Jack Grealish,2,15,25.0,22,1914,3.0,3.0,3.0,3.0,0.0,5.3,5.3,6.0,3
Gabriel Jesus,2,15,24.0,21,1877,8.0,7.0,8.0,1.0,0.0,9.8,9.0,5.7,3
İlkay Gündoğan,1,15,30.0,20,1857,8.0,8.0,4.0,1.0,0.0,9.0,9.0,4.9,3
Kyle Walker,0,15,31.0,20,1755,0.0,0.0,2.0,1.0,0.0,0.3,0.3,1.3,3
Riyad Mahrez,2,15,30.0,15,1498,11.0,7.0,5.0,0.0,0.0,10.1,6.2,4.2,3
John Stones,0,15,27.0,12,1119,1.0,1.0,0.0,0.0,0.0,0.9,0.9,0.2,3
Oleksandr Zinchenko,0,15,24.0,10,1047,0.0,0.0,4.0,0.0,0.0,0.5,0.5,2.7,3
Fernandinho,1,15,36.0,10,964,2.0,2.0,1.0,1.0,0.0,1.6,1.6,1.0,3
Nathan Aké,0,15,26.0,10,923,2.0,2.0,0.0,0.0,0.0,0.7,0.7,0.6,3
Ferrán Torres,2,15,21.0,4,303,2.0,2.0,1.0,0.0,0.0,2.8,2.8,0.0,3
Cole Palmer,2,15,19.0,1,123,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,3
Benjamin Mendy,0,15,27.0,1,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3
James Mcatee,1,15,18.0,0,20,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,3
Liam Delap,2,15,18.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Kayky Chagas,2,15,18.0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
CJ Egan-Riley,0,15,18.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Bruno Fernandes,1,16,26.0,35,3111,10.0,10.0,6.0,10.0,0.0,9.7,8.1,9.0,3
Harry Maguire,0,16,28.0,28,2515,1.0,1.0,0.0,9.0,1.0,1.9,1.9,0.1,3
Scott McTominay,1,16,24.0,28,2387,1.0,1.0,1.0,9.0,0.0,1.4,1.4,1.5,3
Cristiano Ronaldo,2,16,36.0,27,2456,18.0,15.0,3.0,8.0,0.0,17.7,15.4,2.9,3
Victor Lindelöf,0,16,27.0,26,2355,0.0,0.0,2.0,4.0,0.0,0.2,0.2,0.6,3
Fred,1,16,28.0,24,2028,4.0,4.0,4.0,5.0,0.0,1.3,1.3,2.2,3
Jadon Sancho,2,16,21.0,20,1900,3.0,3.0,3.0,0.0,0.0,3.6,3.6,4.1,3
Raphaël Varane,0,16,28.0,20,1831,1.0,1.0,1.0,0.0,0.0,0.7,0.7,0.2,3
Aaron Wan-Bissaka,0,16,23.0,20,1793,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.9,3
Diogo Dalot,0,16,22.0,19,1801,0.0,0.0,0.0,4.0,0.0,0.6,0.6,1.2,3
Luke Shaw,0,16,26.0,19,1601,0.0,0.0,3.0,8.0,0.0,0.1,0.1,3.6,3
Alex Telles,0,16,28.0,18,1660,0.0,0.0,4.0,1.0,0.0,0.4,0.4,1.9,3
Nemanja Matić,1,16,32.0,16,1382,0.0,0.0,4.0,3.0,0.0,0.2,0.2,2.0,3
