Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA
Çağlar Söyüncü,DF,Leicester City,23.0,34,"3,036",1.0,1.0,1.0,4.0,1.0,2.1,2.1,0.8
Jamie Vardy,FW,Leicester City,32.0,34,"3,033",23.0,19.0,5.0,2.0,0.0,19.2,15.3,5.9
Youri Tielemans,MF,Leicester City,22.0,32,"2,828",3.0,3.0,6.0,2.0,0.0,2.7,2.7,4.5
Wilfred Ndidi,MF,Leicester City,22.0,29,"2,674",2.0,2.0,1.0,6.0,0.0,1.6,1.6,0.6
James Maddison,MF,Leicester City,22.0,29,"2,624",6.0,6.0,3.0,4.0,0.0,5.3,5.3,6.4
Ricardo Pereira,DF,Leicester City,25.0,28,"2,520",3.0,3.0,2.0,1.0,0.0,1.2,1.2,3.8
Ben Chilwell,DF,Leicester City,22.0,27,"2,373",3.0,3.0,3.0,3.0,0.0,1.0,1.0,3.9
Ayoze Pérez,"MF,FW",Leicester City,26.0,26,"2,004",8.0,7.0,4.0,0.0,0.0,6.5,5.7,4.0
Harvey Barnes,"MF,FW",Leicester City,21.0,24,"2,083",6.0,6.0,8.0,0.0,0.0,8.1,8.1,4.1
Dennis Praet,MF,Leicester City,25.0,12,"1,134",1.0,1.0,2.0,2.0,0.0,0.9,0.9,1.3
Kelechi Iheanacho,FW,Leicester City,22.0,12,960,5.0,5.0,3.0,1.0,0.0,6.0,6.0,2.6
James Justin,"DF,MF",Leicester City,21.0,11,"1,012",0.0,0.0,1.0,1.0,0.0,0.3,0.3,1.0
Hamza Choudhury,MF,Leicester City,21.0,10,893,1.0,1.0,1.0,4.0,1.0,0.4,0.4,0.1
Marc Albrighton,"MF,DF",Leicester City,29.0,9,867,0.0,0.0,3.0,2.0,0.0,0.4,0.4,2.2
Christian Fuchs,DF,Leicester City,33.0,8,772,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1
Wes Morgan,DF,Leicester City,35.0,4,436,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
