Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA
Jamie Vardy,1,13,32,34,3033,23.0,19.0,5.0,2.0,0.0,19.2,15.3,5.9
Youri Tielemans,2,13,22,32,2828,3.0,3.0,6.0,2.0,0.0,2.7,2.7,4.5
Wilfred Ndidi,2,13,22,29,2674,2.0,2.0,1.0,6.0,0.0,1.6,1.6,0.6
James Maddison,2,13,22,29,2624,6.0,6.0,3.0,4.0,0.0,5.3,5.3,6.4
Ricardo Pereira,3,13,25,28,2520,3.0,3.0,2.0,1.0,0.0,1.2,1.2,3.8
Ben Chilwell,3,13,22,27,2373,3.0,3.0,3.0,3.0,0.0,1.0,1.0,3.9
Ayoze Pérez,2,13,26,26,2004,8.0,7.0,4.0,0.0,0.0,6.5,5.7,4.0
Harvey Barnes,2,13,21,24,2083,6.0,6.0,8.0,0.0,0.0,8.1,8.1,4.1
Dennis Praet,2,13,25,12,1134,1.0,1.0,2.0,2.0,0.0,0.9,0.9,1.3
Kelechi Iheanacho,1,13,22,12,960,5.0,5.0,3.0,1.0,0.0,6.0,6.0,2.6
James Justin,3,13,21,11,1012,0.0,0.0,1.0,1.0,0.0,0.3,0.3,1.0
Hamza Choudhury,2,13,21,10,893,1.0,1.0,1.0,4.0,1.0,0.4,0.4,0.1
Marc Albrighton,2,13,29,9,867,0.0,0.0,3.0,2.0,0.0,0.4,0.4,2.2
Christian Fuchs,3,13,33,8,772,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1
Wes Morgan,3,13,35,4,436,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
Nampalys Mendy,2,13,27,4,291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Demarai Gray,2,13,23,3,622,2.0,2.0,3.0,1.0,0.0,2.8,2.0,2.1
Ryan Bennett,3,13,29,3,331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Thomas,2,13,18,3,267,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6
George Hirst,2,13,20,0,11,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
Matty James,2,13,28,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virgil van Dijk,3,14,28,38,3420,5.0,5.0,1.0,1.0,0.0,2.9,2.9,1.3
Trent Alexander-Arnold,3,14,20,35,3175,4.0,4.0,13.0,5.0,0.0,2.8,2.8,10.9
Georginio Wijnaldum,2,14,28,35,2935,4.0,4.0,0.0,0.0,0.0,2.6,2.6,0.8
Andrew Robertson,3,14,25,34,3111,2.0,2.0,12.0,2.0,0.0,1.8,1.8,7.5
Roberto Firmino,1,14,27,34,2988,9.0,9.0,8.0,0.0,0.0,14.0,14.0,6.5
Mohamed Salah,1,14,27,33,2876,19.0,16.0,10.0,1.0,0.0,19.0,16.6,7.8
Sadio Mané,1,14,27,31,2747,18.0,18.0,7.0,3.0,0.0,13.2,13.2,6.6
Jordan Henderson,2,14,29,26,2238,4.0,4.0,5.0,2.0,0.0,1.1,1.1,3.1
Fabinho,2,14,25,22,2079,2.0,2.0,3.0,6.0,0.0,0.4,0.4,1.6
Joe Gomez,3,14,22,22,2004,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.2
Alex Oxlade-Chamberlain,2,14,25,17,1485,4.0,4.0,1.0,1.0,0.0,2.8,2.8,1.1
James Milner,2,14,33,9,937,2.0,0.0,2.0,4.0,0.0,2.2,0.6,0.7
Naby Keïta,2,14,24,9,815,2.0,2.0,3.0,1.0,0.0,1.6,1.6,2.7
Dejan Lovren,3,14,30,9,777,0.0,0.0,1.0,1.0,0.0,0.4,0.4,0.3
Joël Matip,3,14,27,8,703,1.0,1.0,0.0,0.0,0.0,0.3,0.3,0.0
Divock Origi,1,14,24,7,717,4.0,4.0,1.0,1.0,0.0,1.8,1.8,0.8
Adam Lallana,2,14,31,3,382,1.0,1.0,1.0,1.0,0.0,0.8,0.8,0.6
Neco Williams,3,14,18,3,230,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1
Takumi Minamino,1,14,24,2,249,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0
Xherdan Shaqiri,1,14,27,2,185,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.2
Curtis Jones,2,14,18,1,126,1.0,1.0,0.0,0.0,0.0,0.4,0.4,0.0
Harvey Elliott,3,14,16,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin De Bruyne,2,15,28,32,2791,13.0,11.0,20.0,3.0,0.0,7.3,5.8,20.0
Raheem Sterling,1,15,24,30,2651,20.0,20.0,1.0,5.0,0.0,18.2,16.4,6.2
Rodri,2,15,23,29,2486,3.0,3.0,2.0,8.0,0.0,0.9,0.9,2.6
Kyle Walker,3,15,29,28,2392,1.0,1.0,4.0,5.0,0.0,1.2,1.2,1.5
Fernandinho,3,15,34,26,2397,0.0,0.0,1.0,9.0,2.0,1.0,1.0,0.4
Bernardo Silva,1,15,24,23,2030,6.0,6.0,7.0,5.0,0.0,6.0,6.0,5.0
David Silva,2,15,33,22,1826,6.0,6.0,10.0,0.0,0.0,6.4,6.4,6.5
Gabriel Jesus,1,15,22,21,2030,14.0,14.0,7.0,3.0,0.0,18.2,17.4,3.2
İlkay Gündoğan,2,15,28,21,2020,2.0,1.0,1.0,7.0,0.0,4.0,2.4,2.1
Riyad Mahrez,1,15,28,21,1944,11.0,10.0,9.0,0.0,0.0,7.8,7.0,10.0
Nicolás Otamendi,3,15,31,18,1715,2.0,2.0,0.0,3.0,0.0,1.9,1.9,0.2
Benjamin Mendy,3,15,25,18,1492,0.0,0.0,2.0,3.0,0.0,0.4,0.4,1.4
Sergio Agüero,1,15,31,18,1452,16.0,14.0,3.0,1.0,0.0,14.5,12.1,2.3
Aymeric Laporte,3,15,25,14,1097,1.0,1.0,0.0,1.0,0.0,0.5,0.5,0.1
Oleksandr Zinchenko,3,15,22,13,1276,0.0,0.0,0.0,2.0,1.0,0.5,0.5,1.5
João Cancelo,3,15,25,13,1208,0.0,0.0,0.0,4.0,0.0,0.6,0.6,2.8
John Stones,3,15,25,12,1122,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1
Phil Foden,1,15,19,9,901,5.0,5.0,2.0,0.0,0.0,3.3,3.3,1.2
Eric García,3,15,18,8,793,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2
Angeliño,3,15,22,4,423,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.5
Thomas Doyle,2,15,17,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leroy Sané,1,15,23,0,12,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
Harry Maguire,3,16,26,38,3420,1.0,1.0,1.0,6.0,0.0,2.1,2.1,1.4
Victor Lindelöf,3,16,25,35,3092,1.0,1.0,0.0,6.0,0.0,0.3,0.3,0.3
